"10317.000067869.48085",8976,51,5363,6728,229,132,225,6,163,55,527,3384,26,668,0,0,33,1,91,0,274,65,2,0,1,21,67,0,49,88,2,0,12,16,0,0,0,0,0,1
"10317.000107446.76893",234,163,3565,4941,1372,5017,113,20,315,0,81,85,0,72,3,7,9,131,100,269,7,4,0,0,0,9,65,1,8,146,0,0,216,0,1,0,35,124,0,3
"10317.000079379.48090",15153,58,2677,7878,1747,26462,228,11,213,4,1212,5,101,58,9,36,91,3,17,45,321,1447,0,11,95,11,36,2,29,154,0,0,51,3,2,1,0,0,3,0
"10317.000093402.53384",6249,1,1383,1472,2075,7,843,64,42,0,89,45,2,16,0,0,31,145,23,21,431,66,4,0,0,11,16,0,45,87,0,0,104,3,0,0,44,48,0,97
"10317.000108668.71225",3646,15,687,2360,87,29166,56,871,91,0,345,2,4,58,3,0,3,1,18,1,115,1,3,0,0,1,136,0,2,16,0,0,1,0,0,0,0,0,0,3
"10317.000050000.71225",786,635,5045,3210,1448,3920,250,29,56,0,70,15,2,135,14,0,1,0,11,60,78,111,30,0,20,69,77,1,7,213,1,0,478,1,0,0,85,16,0,5
"10317.000053355.48089",105,150,149,339,85,14866,63,4,51,11,14,84,5,2,43,115,5,2,80,4,28,7,0,47,0,0,18,0,0,386,0,1,344,1,0,1,5,0,0,3
"10317.000035471.48006",0,105,2,5,0,10,62,0,9,0,40,1,3848,0,0,241,140,0,3,0,0,0,0,20,1218,58,0,6,405,21,23,0,0,107,5,0,0,0,12,0
"10317.000046387.48041",13125,4,1597,6434,178,209,910,3,115,16,765,231,2,168,2,0,505,0,11,2,199,24,0,13,0,70,264,4,1,150,0,0,139,18,0,1,0,0,0,0
"10317.000038427.48006",1,2678,1,692,25,1,1438,0,42,0,657,6,132,0,1,3,196,164,9,0,0,0,0,1759,158,7868,0,1,8,10,1451,18,0,247,1465,1,0,0,12868,0
"10317.000051243.48038",5780,89,4307,1341,253,21404,12,1,43,28,459,33,14,129,8,4,5,820,73,19,344,1,260,2,8,22,57,1,3,44,2,0,19,1,1,0,0,0,9,0
